CustomerID,DrivingExperienceYears,AccidentsLast5Years,TrafficViolations
1,37,0,2
2,32,0,2
3,3,0,1
4,10,0,0
5,8,0,0
6,19,0,2
7,32,0,0
8,27,0,4
9,4,0,0
10,37,0,1
11,12,0,2
12,39,0,0
13,20,0,0
14,12,0,3
15,28,0,4
16,16,0,4
17,17,0,0
18,39,0,0
19,14,0,1
20,9,0,0
21,16,0,2
22,37,0,0
23,8,0,2
24,39,0,0
25,1,0,4
26,8,0,0
27,18,0,0
28,1,0,2
29,18,0,0
30,37,0,3
31,23,0,2
32,35,0,0
33,0,0,1
34,29,0,1
35,7,0,2
36,38,0,1
37,26,0,0
38,1,0,1
39,4,0,2
40,22,0,0
41,8,0,0
42,20,0,0
43,18,0,1
44,25,0,2
45,28,0,0
46,22,0,2
47,29,0,1
48,36,0,1
49,28,0,0
50,3,0,3
51,30,0,3
52,30,0,1
53,9,0,2
54,19,0,3
55,38,0,2
56,16,0,1
57,35,0,0
58,34,0,1
59,28,0,1
60,23,0,1
61,3,0,0
62,20,0,2
63,18,0,2
64,26,0,1
65,20,0,1
66,34,0,0
67,28,0,1
68,32,0,0
69,28,0,2
70,23,0,0
71,17,0,1
72,15,0,0
73,16,0,2
74,20,0,1
75,29,0,0
76,11,0,2
77,32,0,1
78,29,0,2
79,24,0,3
80,29,0,0
81,38,0,1
82,29,0,2
83,35,0,0
84,14,0,4
85,20,0,1
86,23,0,0
87,27,0,3
88,17,0,2
89,33,0,1
90,31,0,2
91,12,0,0
92,1,0,2
93,1,0,2
94,12,0,4
95,1,0,1
96,9,0,1
97,22,0,0
98,0,0,3
99,13,0,2
100,6,0,2
101,12,0,0
102,14,0,1
103,7,0,0
104,16,0,4
105,24,0,1
106,36,0,0
107,34,0,1
108,27,0,0
109,21,0,2
110,32,0,2
111,3,0,0
112,17,0,1
113,36,0,2
114,29,0,0
115,15,0,1
116,18,0,1
117,12,0,1
118,26,0,3
119,17,0,0
120,25,0,1
121,15,0,1
122,35,0,1
123,30,0,2
124,26,0,2
125,1,0,0
126,38,0,2
127,32,0,2
128,1,0,3
129,22,0,0
130,23,0,2
131,2,0,3
132,15,0,3
133,5,0,3
134,16,0,1
135,23,0,0
136,27,0,0
137,15,0,1
138,14,0,3
139,10,0,1
140,3,0,0
141,20,0,2
142,21,0,1
143,11,0,0
144,18,0,0
145,19,0,2
146,1,0,0
147,31,0,0
148,28,0,2
149,20,0,1
150,8,0,1
151,15,0,1
152,2,0,2
153,10,0,0
154,15,0,3
155,11,0,0
156,4,0,1
157,34,0,2
158,12,0,2
159,35,0,1
160,14,0,1
161,34,0,1
162,18,0,2
163,8,0,1
164,3,0,2
165,16,0,3
166,13,0,1
167,18,0,1
168,17,0,1
169,18,0,0
170,36,0,1
171,16,0,1
172,36,0,1
173,17,0,4
174,17,0,1
175,3,0,0
176,19,0,1
177,38,0,1
178,22,0,1
179,13,0,0
180,18,0,1
181,17,0,1
182,35,0,0
183,6,0,2
184,13,0,1
185,18,0,0
186,32,0,2
187,17,0,3
188,26,0,0
189,10,0,1
190,31,0,1
191,6,0,3
192,27,0,1
193,25,0,3
194,8,0,1
195,39,0,0
196,7,0,2
197,2,0,0
198,28,0,0
199,37,0,0
200,9,0,2
201,9,0,1
202,28,0,2
203,15,0,2
204,31,0,1
205,24,0,1
206,36,0,1
207,39,0,0
208,0,0,1
209,22,0,1
210,38,0,2
211,24,0,0
212,26,0,2
213,7,0,1
214,30,0,6
215,27,0,0
216,12,0,2
217,2,0,2
